date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1928-01-03,17.76,0.1,0.57,17.76,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-01-04,17.72,-0.04,-0.22,17.76,-0.22,False,0,0,0.0,0.0,0.0,0.0
1928-01-05,17.55,-0.17,-0.96,17.76,-1.18,False,0,0,0.0,0.0,0.0,0.0
1928-01-06,17.66,0.11,0.63,17.76,-0.56,False,0,0,0.0,0.0,0.0,0.0
1928-01-09,17.5,-0.16,-0.91,17.76,-1.46,False,0,0,0.0,0.0,0.0,0.0
1928-01-10,17.37,-0.13,-0.74,17.76,-2.2,False,0,0,0.0,0.0,0.0,0.0
1928-01-11,17.35,-0.02,-0.12,17.76,-2.31,False,0,0,0.0,0.0,0.0,0.0
1928-01-12,17.47,0.12,0.69,17.76,-1.63,False,0,0,0.0,0.0,0.0,0.0
1928-01-13,17.58,0.11,0.63,17.76,-1.01,False,0,0,0.0,0.0,0.0,0.0
1928-01-16,17.29,-0.29,-1.65,17.76,-2.65,False,0,0,0.0,0.0,0.0,0.0
1928-01-17,17.3,0.01,0.06,17.76,-2.59,False,0,0,0.0,0.0,0.0,0.0
1928-01-18,17.26,-0.04,-0.23,17.76,-2.82,False,0,0,0.0,0.0,0.0,0.0
1928-01-19,17.38,0.12,0.7,17.76,-2.14,False,0,0,0.0,0.0,0.0,0.0
1928-01-20,17.48,0.1,0.57,17.76,-1.58,False,0,0,0.0,0.0,0.0,0.0
1928-01-23,17.64,0.16,0.92,17.76,-0.68,False,0,0,0.0,0.0,0.0,0.0
1928-01-24,17.71,0.07,0.4,17.76,-0.28,False,0,0,0.0,0.0,0.0,0.0
1928-01-25,17.52,-0.19,-1.07,17.76,-1.35,False,0,0,0.0,0.0,0.0,0.0
1928-01-26,17.63,0.11,0.63,17.76,-0.73,False,0,0,0.0,0.0,0.0,0.0
1928-01-27,17.69,0.06,0.34,17.76,-0.39,False,0,0,0.0,0.0,0.0,0.0
1928-01-30,17.49,-0.2,-1.13,17.76,-1.52,False,0,0,0.0,0.0,0.0,0.0
1928-01-31,17.57,0.08,0.46,17.76,-1.07,False,0,0,0.0,0.0,0.0,0.0
1928-02-01,17.53,-0.04,-0.23,17.76,-1.3,False,0,0,0.0,0.0,0.0,0.0
1928-02-02,17.63,0.1,0.57,17.76,-0.73,False,0,0,0.0,0.0,0.0,0.0
1928-02-03,17.4,-0.23,-1.3,17.76,-2.03,False,0,0,0.0,0.0,0.0,0.0
1928-02-06,17.45,0.05,0.29,17.76,-1.74,False,0,0,0.0,0.0,0.0,0.0
1928-02-07,17.44,-0.01,-0.06,17.76,-1.8,False,0,0,0.0,0.0,0.0,0.0
1928-02-08,17.49,0.05,0.29,17.76,-1.52,False,0,0,0.0,0.0,0.0,0.0
1928-02-09,17.55,0.06,0.34,17.76,-1.18,False,0,0,0.0,0.0,0.0,0.0
1928-02-10,17.54,-0.01,-0.06,17.76,-1.24,False,0,0,0.0,0.0,0.0,0.0
1928-02-14,17.44,-0.1,-0.57,17.76,-1.8,False,0,0,0.0,0.0,0.0,0.0
1928-02-15,17.4,-0.04,-0.23,17.76,-2.03,False,0,0,0.0,0.0,0.0,0.0
1928-02-16,17.35,-0.05,-0.29,17.76,-2.31,False,0,0,0.0,0.0,0.0,0.0
1928-02-17,17.04,-0.31,-1.79,17.76,-4.05,False,0,0,0.0,0.0,0.0,0.0
1928-02-20,16.95,-0.09,-0.53,17.76,-4.56,False,0,0,0.0,0.0,0.0,0.0
1928-02-21,17.11,0.16,0.94,17.76,-3.66,False,0,0,0.0,0.0,0.0,0.0
1928-02-23,17.13,0.02,0.12,17.76,-3.55,False,0,0,0.0,0.0,0.0,0.0
1928-02-24,17.18,0.05,0.29,17.76,-3.27,False,0,0,0.0,0.0,0.0,0.0
1928-02-27,17.11,-0.07,-0.41,17.76,-3.66,False,0,0,0.0,0.0,0.0,0.0
1928-02-28,17.16,0.05,0.29,17.76,-3.38,False,0,0,0.0,0.0,0.0,0.0
1928-02-29,17.26,0.1,0.58,17.76,-2.82,False,0,0,0.0,0.0,0.0,0.0
1928-03-01,17.3,0.04,0.23,17.76,-2.59,False,0,0,0.0,0.0,0.0,0.0
1928-03-02,17.3,0.0,0.0,17.76,-2.59,False,0,0,0.0,0.0,0.0,0.0
1928-03-05,17.57,0.27,1.56,17.76,-1.07,False,0,0,0.0,0.0,0.0,0.0
1928-03-06,17.67,0.1,0.57,17.76,-0.51,False,0,0,0.0,0.0,0.0,0.0
1928-03-07,17.58,-0.09,-0.51,17.76,-1.01,False,0,0,0.0,0.0,0.0,0.0
1928-03-08,17.64,0.06,0.34,17.76,-0.68,False,0,0,0.0,0.0,0.0,0.0
1928-03-09,17.93,0.29,1.64,17.93,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-12,18.0,0.07,0.39,18.0,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-13,17.92,-0.08,-0.44,18.0,-0.44,False,0,0,0.0,0.0,0.0,0.0
1928-03-14,17.93,0.01,0.06,18.0,-0.39,False,0,0,0.0,0.0,0.0,0.0
1928-03-15,18.07,0.14,0.78,18.07,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-16,18.26,0.19,1.05,18.26,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-19,18.36,0.1,0.55,18.36,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-20,18.46,0.1,0.55,18.46,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-21,18.65,0.19,1.03,18.65,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-22,18.6,-0.05,-0.27,18.65,-0.27,False,0,0,0.0,0.0,0.0,0.0
1928-03-23,18.78,0.18,0.97,18.78,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-26,19.05,0.27,1.44,19.05,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-03-27,18.94,-0.11,-0.58,19.05,-0.58,False,0,0,0.0,0.0,0.0,0.0
1928-03-28,18.89,-0.05,-0.26,19.05,-0.84,False,0,0,0.0,0.0,0.0,0.0
1928-03-29,18.95,0.06,0.32,19.05,-0.52,False,0,0,0.0,0.0,0.0,0.0
1928-03-30,19.28,0.33,1.74,19.28,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-04-02,18.91,-0.37,-1.92,19.28,-1.92,False,0,0,0.0,0.0,0.0,0.0
1928-04-03,19.02,0.11,0.58,19.28,-1.35,False,0,0,0.0,0.0,0.0,0.0
1928-04-04,18.99,-0.03,-0.16,19.28,-1.5,False,0,0,0.0,0.0,0.0,0.0
1928-04-05,19.23,0.24,1.26,19.28,-0.26,False,0,0,0.0,0.0,0.0,0.0
1928-04-09,19.27,0.04,0.21,19.28,-0.05,False,0,0,0.0,0.0,0.0,0.0
1928-04-10,19.1,-0.17,-0.88,19.28,-0.93,False,0,0,0.0,0.0,0.0,0.0
1928-04-11,19.44,0.34,1.78,19.44,0.0,False,0,0,0.0,0.0,0.0,0.0
1928-04-12,19.41,-0.03,-0.15,19.44,-0.15,False,0,0,0.0,0.0,0.0,0.0
