date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1928-01-03,17.76,0.1,0.57,17.76,0.0,True,1,1,-17.76,-17.76,17.76,0.0
1928-01-04,17.72,-0.04,-0.22,17.76,-0.22,True,1,2,-17.72,-35.48,35.44,-0.04
1928-01-05,17.55,-0.17,-0.96,17.76,-1.18,True,1,3,-17.55,-53.03,52.65,-0.38
1928-01-06,17.66,0.11,0.63,17.76,-0.56,True,1,4,-17.66,-70.69,70.64,-0.05
1928-01-09,17.5,-0.16,-0.91,17.76,-1.46,True,1,5,-17.5,-88.19,87.5,-0.69
1928-01-10,17.37,-0.13,-0.74,17.76,-2.2,True,1,6,-17.37,-105.56,104.22,-1.34
1928-01-11,17.35,-0.02,-0.12,17.76,-2.31,True,1,7,-17.35,-122.91,121.45,-1.46
1928-01-12,17.47,0.12,0.69,17.76,-1.63,True,1,8,-17.47,-140.38,139.76,-0.62
1928-01-13,17.58,0.11,0.63,17.76,-1.01,True,1,9,-17.58,-157.96,158.22,0.26
1928-01-16,17.29,-0.29,-1.65,17.76,-2.65,True,1,10,-17.29,-175.25,172.9,-2.35
1928-01-17,17.3,0.01,0.06,17.76,-2.59,True,1,11,-17.3,-192.55,190.3,-2.25
1928-01-18,17.26,-0.04,-0.23,17.76,-2.82,True,1,12,-17.26,-209.81,207.12,-2.69
1928-01-19,17.38,0.12,0.7,17.76,-2.14,True,1,13,-17.38,-227.19,225.94,-1.25
1928-01-20,17.48,0.1,0.57,17.76,-1.58,True,1,14,-17.48,-244.67,244.72,0.05
1928-01-23,17.64,0.16,0.92,17.76,-0.68,True,1,15,-17.64,-262.31,264.6,2.29
1928-01-24,17.71,0.07,0.4,17.76,-0.28,True,1,16,-17.71,-280.02,283.36,3.34
1928-01-25,17.52,-0.19,-1.07,17.76,-1.35,True,1,17,-17.52,-297.54,297.84,0.3
1928-01-26,17.63,0.11,0.63,17.76,-0.73,True,1,18,-17.63,-315.17,317.34,2.17
1928-01-27,17.69,0.06,0.34,17.76,-0.39,True,1,19,-17.69,-332.86,336.11,3.25
