percent off,fraction of days
86.9,0.0
86.8,0.0
86.7,0.0
86.6,0.0
86.5,0.0
86.4,0.0
86.3,0.0
86.2,0.0
86.1,0.009
86.0,0.026
85.9,0.03
85.8,0.039
85.7,0.039
85.6,0.047
85.5,0.069
85.4,0.073
85.3,0.073
85.2,0.073
85.1,0.073
85.0,0.082
84.9,0.099
84.8,0.116
84.7,0.121
84.6,0.129
84.5,0.142
84.4,0.147
84.3,0.147
84.2,0.151
84.1,0.155
84.0,0.16
83.9,0.173
83.8,0.173
83.7,0.173
83.6,0.181
83.5,0.181
83.4,0.181
83.3,0.181
83.2,0.181
83.1,0.181
83.0,0.186
82.9,0.19
82.8,0.207
82.7,0.207
82.6,0.211
82.5,0.211
82.4,0.22
82.3,0.224
82.2,0.242
82.1,0.25
82.0,0.25
81.9,0.259
81.8,0.263
81.7,0.272
81.6,0.285
81.5,0.293
81.4,0.302
81.3,0.306
81.2,0.324
81.1,0.337
81.0,0.367
80.9,0.38
80.8,0.393
80.7,0.414
80.6,0.414
80.5,0.423
80.4,0.431
80.3,0.453
80.2,0.457
80.1,0.462
80.0,0.462
79.9,0.466
79.8,0.479
79.7,0.483
79.6,0.496
79.5,0.526
79.4,0.548
79.3,0.557
79.2,0.57
79.1,0.574
79.0,0.595
78.9,0.595
78.8,0.608
78.7,0.63
78.6,0.647
78.5,0.669
78.4,0.682
78.3,0.695
78.2,0.712
78.1,0.729
78.0,0.759
77.9,0.772
77.8,0.798
77.7,0.815
77.6,0.841
77.5,0.854
77.4,0.872
77.3,0.884
77.2,0.893
77.1,0.893
77.0,0.902
76.9,0.915
76.8,0.923
76.7,0.928
76.6,0.958
76.5,0.962
76.4,0.971
76.3,0.992
76.2,1.005
76.1,1.027
76.0,1.036
75.9,1.048
75.8,1.07
75.7,1.083
75.6,1.1
75.5,1.13
75.4,1.161
75.3,1.165
75.2,1.182
75.1,1.195
75.0,1.23
74.9,1.251
74.8,1.281
74.7,1.338
74.6,1.35
74.5,1.394
74.4,1.437
74.3,1.467
74.2,1.527
74.1,1.562
74.0,1.583
73.9,1.618
73.8,1.644
73.7,1.691
73.6,1.752
73.5,1.782
73.4,1.847
73.3,1.92
73.2,1.972
73.1,2.032
73.0,2.088
72.9,2.153
72.8,2.188
72.7,2.231
72.6,2.295
72.5,2.377
72.4,2.416
72.3,2.49
72.2,2.567
72.1,2.593
72.0,2.666
71.9,2.71
71.8,2.761
71.7,2.822
