high date,high close,next high date,next high close,date diff,close diff,close diff (%),last high,remaining highs,min days no high
1928-01-03,17.76,1928-03-09,17.93,66.0,0.17,0.9570000000000001,1,9,10
1928-03-30,19.280001,1928-04-11,19.440001,12.0,0.16,0.83,1,1,10
1928-04-13,19.73,1928-04-30,19.75,17.0,0.02,0.10099999999999999,1,6,10
1928-05-14,20.440001,1928-08-28,20.540001,106.0,0.1,0.489,1,10,10
1928-09-24,21.43,1928-10-11,21.51,17.0,0.08,0.373,1,23,10
1928-11-30,24.280001,1928-12-31,24.35,31.0,0.07,0.28800000000000003,1,2,10
1929-01-03,24.860001,1929-01-21,24.860001,18.0,0.0,0.0,1,5,10
1929-02-01,25.84,1929-03-15,26.08,42.0,0.24,0.929,1,0,10
1929-03-15,26.08,1929-05-02,26.110001,48.0,0.03,0.115,1,1,10
1929-05-03,26.370001,1929-06-17,26.41,45.0,0.04,0.152,1,21,10
1929-08-02,29.559999,1929-08-14,29.620001,12.0,0.06,0.203,1,10,10
1929-09-06,31.83,1929-09-16,31.860001,10.0,0.03,0.094,1,0,10
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,5,10
1954-10-06,32.759998,1954-11-04,32.82,29.0,0.06,0.183,1,10,10
1954-11-26,34.549999,1954-12-06,34.759998,10.0,0.21,0.608,1,3,10
1954-12-17,35.919998,1954-12-31,35.98,14.0,0.06,0.16699999999999998,1,1,10
1955-01-03,36.75,1955-02-04,36.959999,32.0,0.21,0.5710000000000001,1,3,10
1955-02-11,37.150002,1955-03-02,37.150002,19.0,0.0,0.0,1,2,10
1955-03-04,37.52,1955-04-12,37.66,39.0,0.14,0.373,1,6,10
1955-04-21,38.32,1955-06-03,38.369999,43.0,0.05,0.13,1,14,10
1955-07-06,43.18,1955-07-25,43.48,19.0,0.3,0.695,1,2,10
1955-07-27,43.759998,1955-09-06,43.860001,41.0,0.1,0.22899999999999998,1,10,10
1955-09-23,45.630001,1955-11-14,46.41,52.0,0.78,1.709,1,0,10
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,10
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,10
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,8,10
1958-10-13,51.619999,1958-11-05,52.029999,23.0,0.41,0.794,1,6,10
1958-11-17,53.240002,1958-12-10,53.459999,23.0,0.22,0.413,1,3,10
1958-12-18,54.150002,1958-12-29,54.740002,11.0,0.59,1.09,1,8,10
1959-01-21,56.040001,1959-03-03,56.25,41.0,0.21,0.375,1,4,10
1959-03-13,56.669998,1959-04-14,56.709999,32.0,0.04,0.071,1,4,10
1959-04-20,58.169998,1959-05-14,58.369999,24.0,0.2,0.344,1,0,10
1959-05-14,58.369999,1959-05-28,58.389999,14.0,0.02,0.034,1,1,10
1959-05-29,58.68,1959-07-01,58.970001,33.0,0.29,0.494,1,4,10
1959-07-08,60.029999,1959-07-28,60.32,20.0,0.29,0.483,1,2,10
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,2,10
1961-02-02,62.299999,1961-02-16,62.299999,14.0,0.0,0.0,1,9,10
1961-03-06,64.050003,1961-03-16,64.209999,10.0,0.16,0.25,1,9,10
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,10
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,5,10
1963-09-24,73.300003,1963-10-18,73.32,24.0,0.02,0.027000000000000003,1,3,10
1963-10-28,74.480003,1963-12-17,74.739998,50.0,0.26,0.349,1,0,10
1963-12-17,74.739998,1963-12-31,75.019997,14.0,0.28,0.375,1,11,10
1964-01-24,77.110001,1964-02-07,77.18,14.0,0.07,0.091,1,17,10
1964-03-18,79.379997,1964-04-02,79.699997,15.0,0.32,0.40299999999999997,1,5,10
1964-04-17,80.550003,1964-05-05,80.879997,18.0,0.33,0.41,1,3,10
1964-05-12,81.160004,1964-06-25,81.209999,44.0,0.05,0.062,1,12,10
1964-07-17,84.010002,1964-09-25,84.209999,70.0,0.2,0.23800000000000002,1,8,10
1964-10-12,85.239998,1964-11-16,85.650002,35.0,0.41,0.48100000000000004,1,3,10
1964-11-20,86.279999,1965-01-18,86.489998,59.0,0.21,0.243,1,9,10
1965-02-03,87.629997,1965-04-12,87.940002,68.0,0.31,0.354,1,14,10
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,0,10
1965-09-27,90.650002,1965-10-08,90.849998,11.0,0.2,0.221,1,8,10
1965-10-27,92.510002,1965-11-12,92.550003,16.0,0.04,0.043,1,1,10
1965-11-15,92.629997,1966-01-05,92.849998,51.0,0.22,0.23800000000000002,1,7,10
1966-01-18,93.949997,1966-02-09,94.059998,22.0,0.11,0.11699999999999999,1,0,10
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,2,10
1967-05-08,94.580002,1967-07-31,94.75,84.0,0.17,0.18,1,3,10
1967-08-04,95.830002,1967-09-13,95.989998,40.0,0.16,0.16699999999999998,1,6,10
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,5,10
1968-05-08,98.910004,1968-06-03,99.989998,26.0,1.08,1.092,1,5,10
1968-06-11,101.660004,1968-07-08,101.940002,27.0,0.28,0.275,1,2,10
1968-07-11,102.389999,1968-09-24,102.589996,75.0,0.2,0.195,1,8,10
1968-10-21,104.989998,1968-11-13,105.129997,23.0,0.14,0.133,1,9,10
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,2,10
1972-03-08,108.959999,1972-04-05,109.0,28.0,0.04,0.037000000000000005,1,4,10
1972-04-12,110.18,1972-05-24,110.309998,42.0,0.13,0.11800000000000001,1,2,10
1972-05-26,110.660004,1972-08-08,110.690002,74.0,0.03,0.027000000000000003,1,4,10
1972-08-14,112.550003,1972-11-01,112.669998,79.0,0.12,0.107,1,2,10
1972-11-03,114.220001,1972-11-14,114.949997,11.0,0.73,0.639,1,12,10
1972-12-11,119.120003,1973-01-03,119.57,23.0,0.45,0.37799999999999995,1,2,10
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,2,10
1980-07-21,122.510002,1980-08-07,123.300003,17.0,0.79,0.645,1,5,10
1980-08-22,126.019997,1980-09-03,126.120003,12.0,0.1,0.079,1,0,10
1980-09-03,126.120003,1980-09-16,126.739998,13.0,0.62,0.49200000000000005,1,3,10
1980-09-22,130.399994,1980-10-06,131.729996,14.0,1.33,1.02,1,2,10
1980-10-15,133.699997,1980-11-12,134.589996,28.0,0.89,0.6659999999999999,1,6,10
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,1,10
1982-11-09,143.020004,1983-01-06,145.270004,58.0,2.25,1.5730000000000002,1,1,10
1983-01-10,146.779999,1983-02-07,146.929993,28.0,0.15,0.102,1,3,10
1983-02-14,148.929993,1983-02-24,149.600006,10.0,0.67,0.45,1,6,10
1983-03-07,153.669998,1983-04-11,155.139999,35.0,1.47,0.9570000000000001,1,10,10
1983-05-06,166.100006,1983-05-25,166.21000700000005,19.0,0.11,0.066,1,0,10
1983-05-25,166.21000700000005,1983-06-15,167.119995,21.0,0.91,0.547,1,3,10
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,10
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,12,10
1985-02-13,183.350006,1985-04-25,183.429993,71.0,0.08,0.044000000000000004,1,0,10
1985-04-25,183.429993,1985-05-10,184.279999,15.0,0.85,0.46299999999999997,1,4,10
1985-05-20,189.720001,1985-06-04,190.039993,15.0,0.32,0.16899999999999998,1,2,10
1985-06-06,191.059998,1985-06-27,191.229996,21.0,0.17,0.08900000000000001,1,7,10
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,12,10
1985-12-16,212.020004,1986-01-07,213.800003,22.0,1.78,0.84,1,0,10
1986-01-07,213.800003,1986-02-03,213.960007,27.0,0.16,0.075,1,8,10
1986-02-28,226.919998,1986-03-11,231.690002,11.0,4.77,2.102,1,3,10
1986-03-14,236.550003,1986-03-26,237.300003,12.0,0.75,0.317,1,1,10
1986-03-27,238.970001,1986-04-16,242.220001,20.0,3.25,1.36,1,2,10
1986-04-21,244.740005,1986-05-27,244.75,36.0,0.01,0.004,1,2,10
1986-05-29,247.979996,1986-06-25,248.929993,27.0,0.95,0.38299999999999995,1,4,10
1986-07-02,252.699997,1986-08-26,252.839996,55.0,0.14,0.055,1,2,10
1986-09-04,253.830002,1986-12-02,254.0,89.0,0.17,0.067,1,0,10
1986-12-02,254.0,1987-01-07,255.330002,36.0,1.33,0.524,1,12,10
1987-02-05,281.160004,1987-02-17,285.48999,12.0,4.33,1.54,1,1,10
1987-02-19,285.570007,1987-03-04,288.619995,13.0,3.05,1.068,1,10,10
1987-03-24,301.640015,1987-04-06,301.950012,13.0,0.31,0.10300000000000001,1,0,10
1987-04-06,301.950012,1987-06-15,303.140015,70.0,1.19,0.39399999999999996,1,5,10
1987-06-22,309.649994,1987-07-14,310.679993,22.0,1.03,0.33299999999999996,1,2,10
1987-07-17,314.589996,1987-07-29,315.649994,12.0,1.06,0.337,1,10,10
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,4,10
1989-08-07,349.410004,1989-08-24,351.519989,17.0,2.11,0.604,1,2,10
1989-09-01,353.730011,1989-10-03,354.709991,32.0,0.98,0.27699999999999997,1,4,10
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,4,10
1990-06-04,367.399994,1990-07-16,368.950012,42.0,1.55,0.42200000000000004,1,0,10
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,2,10
1991-02-19,369.390015,1991-03-01,370.470001,10.0,1.08,0.292,1,1,10
1991-03-05,376.720001,1991-04-02,379.5,28.0,2.78,0.738,1,5,10
