,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
1,1928-01-03,17.76,1928-03-09,17.93,66.0,0.17,0.957
47,1928-03-09,17.93,1928-03-12,18.0,3.0,0.07,0.39
48,1928-03-12,18.0,1928-03-15,18.07,3.0,0.07,0.389
51,1928-03-15,18.07,1928-03-16,18.26,1.0,0.19,1.051
52,1928-03-16,18.26,1928-03-19,18.360001,3.0,0.1,0.548
53,1928-03-19,18.360001,1928-03-20,18.459999,1.0,0.1,0.545
54,1928-03-20,18.459999,1928-03-21,18.65,1.0,0.19,1.029
55,1928-03-21,18.65,1928-03-23,18.780001000000002,2.0,0.13,0.697
57,1928-03-23,18.780001000000002,1928-03-26,19.049999,3.0,0.27,1.438
58,1928-03-26,19.049999,1928-03-30,19.280001000000002,4.0,0.23,1.207
62,1928-03-30,19.280001000000002,1928-04-11,19.440001000000002,12.0,0.16,0.83
69,1928-04-11,19.440001000000002,1928-04-13,19.73,2.0,0.29,1.492
71,1928-04-13,19.73,1928-04-30,19.75,17.0,0.02,0.101
82,1928-04-30,19.75,1928-05-01,19.780001000000002,1.0,0.03,0.152
83,1928-05-01,19.780001000000002,1928-05-02,19.83,1.0,0.05,0.253
84,1928-05-02,19.83,1928-05-03,19.93,1.0,0.1,0.504
85,1928-05-03,19.93,1928-05-04,20.24,1.0,0.31,1.555
86,1928-05-04,20.24,1928-05-07,20.41,3.0,0.17,0.84
87,1928-05-07,20.41,1928-05-14,20.440001000000002,7.0,0.03,0.147
92,1928-05-14,20.440001000000002,1928-08-28,20.540001,106.0,0.1,0.489
166,1928-08-28,20.540001,1928-08-29,20.58,1.0,0.04,0.195
167,1928-08-29,20.58,1928-08-30,20.610001,1.0,0.03,0.146
168,1928-08-30,20.610001,1928-08-31,20.870001000000002,1.0,0.26,1.262
169,1928-08-31,20.870001000000002,1928-09-04,20.969998999999998,4.0,0.1,0.479
170,1928-09-04,20.969998999999998,1928-09-05,21.07,1.0,0.1,0.477
171,1928-09-05,21.07,1928-09-07,21.09,2.0,0.02,0.095
173,1928-09-07,21.09,1928-09-12,21.16,5.0,0.07,0.332
176,1928-09-12,21.16,1928-09-17,21.33,5.0,0.17,0.803
179,1928-09-17,21.33,1928-09-21,21.360001,4.0,0.03,0.141
183,1928-09-21,21.360001,1928-09-24,21.43,3.0,0.07,0.328
184,1928-09-24,21.43,1928-10-11,21.51,17.0,0.08,0.373
