time interval,avg return (%),avg annual return (%),annual return stdev (%)
1,7.686,7.686,20.326
2,11.48,7.095,17.388
3,15.448,6.795,15.604
4,19.754,6.637,14.363
5,24.327,6.566,13.368
6,29.025,6.529,12.543
7,33.941,6.508,11.864
8,39.109,6.494,11.3
9,44.524,6.481,10.829
10,50.222,6.468,10.429
11,56.272,6.459,10.083
12,62.64,6.453,9.778
13,69.441,6.453,9.504
14,76.681,6.458,9.255
15,84.342,6.467,9.024
16,92.399,6.479,8.812
17,100.871,6.491,8.617
18,109.73,6.503,8.436
19,119.019,6.516,8.268
20,128.756,6.531,8.111
21,138.994,6.547,7.963
22,149.766,6.565,7.824
23,161.021,6.583,7.693
24,172.616,6.6,7.569
25,184.502,6.616,7.451
26,196.643,6.631,7.339
27,209.042,6.644,7.232
28,221.711,6.657,7.131
29,234.818,6.668,7.035
30,248.263,6.678,6.944
31,262.114,6.686,6.857
32,276.376,6.694,6.775
33,291.177,6.701,6.697
34,306.469,6.707,6.622
35,322.289,6.713,6.552
36,338.693,6.717,6.484
37,355.714,6.72,6.42
38,373.226,6.723,6.359
39,391.299,6.724,6.301
40,410.046,6.726,6.246
41,429.369,6.726,6.193
42,449.292,6.726,6.143
43,470.048,6.725,6.094
44,491.861,6.725,6.049
45,514.75,6.724,6.005
46,538.56,6.723,5.963
47,563.798,6.722,5.923
48,590.652,6.722,5.885
49,619.075,6.721,5.849
50,648.987,6.721,5.814
51,680.596,6.721,5.78
52,713.9,6.722,5.748
53,748.994,6.723,5.717
54,786.016,6.724,5.687
55,825.26,6.726,5.658
56,866.712,6.727,5.631
57,910.446,6.729,5.604
58,955.826,6.731,5.579
59,1002.492,6.734,5.555
60,1050.206,6.736,5.531
61,1099.265,6.738,5.509
62,1149.912,6.74,5.487
63,1202.568,6.743,5.467
64,1257.659,6.745,5.447
65,1315.425,6.747,5.428
66,1374.923,6.749,5.41
67,1434.574,6.751,5.393
68,1494.21,6.753,5.377
69,1553.431,6.755,5.361
70,1611.637,6.756,5.346
71,1668.783,6.757,5.332
72,1725.695,6.757,5.319
73,1781.592,6.757,5.306
74,1836.319,6.757,5.295
75,1890.869,6.757,5.283
76,1943.436,6.756,5.273
77,1993.276,6.755,5.263
78,2039.86,6.754,5.254
79,2083.162,6.753,5.246
80,2123.393,6.752,5.239
81,2161.771,6.75,5.232
82,2198.863,6.749,5.225
83,2234.065,6.748,5.22
84,2268.583,6.747,5.215
85,2301.307,6.746,5.21
86,2329.568,6.745,5.206
87,2353.477,6.744,5.203
88,2367.971,6.743,5.201
89,2376.481,6.742,5.199
90,2382.275,6.742,5.197
