dip,buy days,buy days (%),return (%)
-60.0,0,0.0,
-59.9,0,0.0,
-59.8,0,0.0,
-59.7,0,0.0,
-59.6,0,0.0,
-59.5,0,0.0,
-59.4,0,0.0,
-59.3,0,0.0,
-59.2,0,0.0,
-59.1,0,0.0,
-59.0,0,0.0,
-58.9,0,0.0,
-58.8,0,0.0,
-58.7,0,0.0,
-58.6,0,0.0,
-58.5,0,0.0,
-58.4,0,0.0,
-58.3,0,0.0,
-58.2,0,0.0,
-58.1,0,0.0,
-58.0,0,0.0,
-57.9,0,0.0,
-57.8,0,0.0,
-57.7,0,0.0,
-57.6,0,0.0,
-57.5,0,0.0,
-57.4,0,0.0,
-57.3,0,0.0,
-57.2,0,0.0,
-57.1,0,0.0,
-57.0,0,0.0,
-56.9,0,0.0,
-56.8,0,0.0,
-56.7,1,0.01,13.900000000000002
-56.6,1,0.01,13.900000000000002
-56.5,1,0.01,13.900000000000002
-56.4,1,0.01,13.900000000000002
-56.3,3,0.02,13.83
-56.2,3,0.02,13.83
-56.1,3,0.02,13.83
-56.0,3,0.02,13.83
-55.9,3,0.02,13.83
-55.8,3,0.02,13.83
-55.7,3,0.02,13.83
-55.6,3,0.02,13.83
-55.5,4,0.02,13.77
-55.4,4,0.02,13.77
-55.3,4,0.02,13.77
-55.2,5,0.03,13.719999999999999
-55.1,5,0.03,13.719999999999999
-55.0,5,0.03,13.719999999999999
-54.9,5,0.03,13.719999999999999
-54.8,5,0.03,13.719999999999999
-54.7,5,0.03,13.719999999999999
-54.6,5,0.03,13.719999999999999
-54.5,5,0.03,13.719999999999999
-54.4,6,0.04,13.66
-54.3,6,0.04,13.66
-54.2,6,0.04,13.66
-54.1,6,0.04,13.66
-54.0,7,0.04,13.600000000000001
-53.9,8,0.05,13.56
-53.8,8,0.05,13.56
-53.7,8,0.05,13.56
-53.6,8,0.05,13.56
-53.5,8,0.05,13.56
-53.4,8,0.05,13.56
-53.3,8,0.05,13.56
-53.2,8,0.05,13.56
-53.1,8,0.05,13.56
-53.0,9,0.05,13.5
-52.9,9,0.05,13.5
-52.8,9,0.05,13.5
-52.7,9,0.05,13.5
-52.6,9,0.05,13.5
-52.5,10,0.06,13.44
-52.4,10,0.06,13.44
-52.3,10,0.06,13.44
-52.2,10,0.06,13.44
-52.1,10,0.06,13.44
-52.0,11,0.06999999999999999,13.38
-51.9,13,0.08,13.18
-51.8,14,0.09,13.15
-51.7,14,0.09,13.15
-51.6,15,0.09,13.120000000000001
-51.5,15,0.09,13.120000000000001
-51.4,15,0.09,13.120000000000001
-51.3,15,0.09,13.120000000000001
-51.2,15,0.09,13.120000000000001
-51.1,16,0.1,13.089999999999998
-51.0,16,0.1,13.089999999999998
-50.9,17,0.1,13.059999999999999
-50.8,18,0.11,13.03
-50.7,18,0.11,13.03
-50.6,19,0.12,13.01
-50.5,19,0.12,13.01
-50.4,19,0.12,13.01
-50.3,19,0.12,13.01
-50.2,21,0.13,12.950000000000001
-50.1,21,0.13,12.950000000000001
-50.0,21,0.13,12.950000000000001
-49.9,22,0.13,12.93
-49.8,22,0.13,12.93
-49.7,22,0.13,12.93
-49.6,24,0.15,12.870000000000001
-49.5,25,0.15,12.85
-49.4,25,0.15,12.85
-49.3,25,0.15,12.85
-49.2,26,0.16,12.83
-49.1,27,0.16,12.33
-49.0,28,0.16999999999999998,12.33
-48.9,28,0.16999999999999998,12.33
-48.8,29,0.18,12.280000000000001
-48.7,29,0.18,12.280000000000001
-48.6,29,0.18,12.280000000000001
-48.5,32,0.19,11.92
-48.4,33,0.2,11.89
-48.3,33,0.2,11.89
-48.2,34,0.21,11.3
-48.1,36,0.22,10.96
-48.0,37,0.22,10.97
-47.9,37,0.22,10.97
-47.8,40,0.24,11.0
-47.7,42,0.26,10.74
-47.6,42,0.26,10.74
-47.5,44,0.27,10.530000000000001
-47.4,45,0.27,10.549999999999999
-47.3,47,0.29,10.36
-47.2,52,0.32,10.16
-47.1,57,0.35000000000000003,10.059999999999999
-47.0,57,0.35000000000000003,10.059999999999999
-46.9,57,0.35000000000000003,10.059999999999999
-46.8,60,0.36,10.11
-46.7,62,0.38,10.14
-46.6,66,0.4,10.12
-46.5,67,0.41000000000000003,10.13
-46.4,70,0.43,10.059999999999999
-46.3,74,0.44999999999999996,9.91
-46.2,75,0.45999999999999996,9.92
-46.1,80,0.49,9.89
-46.0,84,0.51,9.86
-45.9,89,0.54,9.74
-45.8,92,0.5599999999999999,9.64
-45.7,97,0.59,9.569999999999999
-45.6,102,0.62,9.55
-45.5,107,0.65,9.56
-45.4,111,0.67,9.46
-45.3,116,0.7100000000000001,9.379999999999999
-45.2,121,0.74,9.370000000000001
-45.1,127,0.77,9.31
-45.0,130,0.79,9.25
-44.9,132,0.8,9.22
-44.8,134,0.8099999999999999,9.21
-44.7,141,0.86,9.120000000000001
-44.6,144,0.88,9.1
-44.5,150,0.91,9.08
-44.4,158,0.96,9.049999999999999
-44.3,163,0.9900000000000001,9.049999999999999
-44.2,168,1.02,9.049999999999999
-44.1,175,1.06,9.02
-44.0,178,1.08,9.0
-43.9,185,1.1199999999999999,8.98
-43.8,190,1.16,8.959999999999999
-43.7,197,1.2,8.93
-43.6,202,1.23,8.91
-43.5,207,1.26,8.9
-43.4,213,1.3,8.86
-43.3,217,1.32,8.85
-43.2,223,1.3599999999999999,8.86
-43.1,227,1.38,8.85
-43.0,229,1.39,8.83
-42.9,235,1.43,8.83
-42.8,238,1.4500000000000002,8.82
-42.7,245,1.49,8.81
-42.6,250,1.52,8.77
-42.5,257,1.5599999999999998,8.76
-42.4,265,1.6099999999999999,8.73
-42.3,270,1.6400000000000001,8.7
-42.2,281,1.71,8.67
-42.1,286,1.7399999999999998,8.66
