dip,holding period,start year,end year,buy days,buy days (%),return (%)
-40,1,1955,1956,0,0.0,
-40,1,1956,1957,0,0.0,
-40,1,1957,1958,0,0.0,
-40,1,1958,1959,0,0.0,
-40,1,1959,1960,0,0.0,
-40,1,1960,1961,0,0.0,
-40,1,1961,1962,0,0.0,
-40,1,1962,1963,0,0.0,
-40,1,1963,1964,0,0.0,
-40,1,1964,1965,0,0.0,
-40,1,1965,1966,0,0.0,
-40,1,1966,1967,0,0.0,
-40,1,1967,1968,0,0.0,
-40,1,1968,1969,0,0.0,
-40,1,1969,1970,0,0.0,
-40,1,1970,1971,0,0.0,
-40,1,1971,1972,0,0.0,
-40,1,1972,1973,0,0.0,
-40,1,1973,1974,0,0.0,
-40,1,1974,1975,71,28.060000000000002,0.76
-40,1,1975,1976,14,5.53,26.69
-40,1,1976,1977,0,0.0,
-40,1,1977,1978,0,0.0,
-40,1,1978,1979,0,0.0,
-40,1,1979,1980,0,0.0,
-40,1,1980,1981,0,0.0,
-40,1,1981,1982,0,0.0,
-40,1,1982,1983,0,0.0,
-40,1,1983,1984,0,0.0,
-40,1,1984,1985,0,0.0,
-40,1,1985,1986,0,0.0,
-40,1,1986,1987,0,0.0,
-40,1,1987,1988,0,0.0,
-40,1,1988,1989,0,0.0,
-40,1,1989,1990,0,0.0,
-40,1,1990,1991,0,0.0,
-40,1,1991,1992,0,0.0,
-40,1,1992,1993,0,0.0,
-40,1,1993,1994,0,0.0,
-40,1,1994,1995,0,0.0,
-40,1,1995,1996,0,0.0,
-40,1,1996,1997,0,0.0,
-40,1,1997,1998,0,0.0,
-40,1,1998,1999,0,0.0,
-40,1,1999,2000,0,0.0,
-40,1,2000,2001,0,0.0,
-40,1,2001,2002,0,0.0,
-40,1,2002,2003,97,38.49,0.44
-40,1,2003,2004,73,28.970000000000002,29.099999999999998
-40,1,2004,2005,0,0.0,
-40,1,2005,2006,0,0.0,
-40,1,2006,2007,0,0.0,
-40,1,2007,2008,0,0.0,
-40,1,2008,2009,46,18.18,3.01
-40,1,2009,2010,127,50.4,31.28
-40,1,2010,2011,0,0.0,
-40,1,2011,2012,0,0.0,
-40,1,2012,2013,0,0.0,
-40,1,2013,2014,0,0.0,
-40,1,2014,2015,0,0.0,
-40,1,2015,2016,0,0.0,
-40,1,2016,2017,0,0.0,
-40,1,2017,2018,0,0.0,
-40,1,2018,2019,0,0.0,
-40,1,2019,2020,0,0.0,
-40,2,1954,1956,0,0.0,
-40,2,1955,1957,0,0.0,
-40,2,1956,1958,0,0.0,
-40,2,1957,1959,0,0.0,
-40,2,1958,1960,0,0.0,
-40,2,1959,1961,0,0.0,
-40,2,1960,1962,0,0.0,
-40,2,1961,1963,0,0.0,
-40,2,1962,1964,0,0.0,
-40,2,1963,1965,0,0.0,
-40,2,1964,1966,0,0.0,
-40,2,1965,1967,0,0.0,
-40,2,1966,1968,0,0.0,
-40,2,1967,1969,0,0.0,
-40,2,1968,1970,0,0.0,
-40,2,1969,1971,0,0.0,
-40,2,1970,1972,0,0.0,
-40,2,1971,1973,0,0.0,
-40,2,1972,1974,0,0.0,
-40,2,1973,1975,71,14.06,0.76
-40,2,1974,1976,85,16.8,16.08
-40,2,1975,1977,14,2.77,22.86
-40,2,1976,1978,0,0.0,
-40,2,1977,1979,0,0.0,
-40,2,1978,1980,0,0.0,
-40,2,1979,1981,0,0.0,
-40,2,1980,1982,0,0.0,
-40,2,1981,1983,0,0.0,
-40,2,1982,1984,0,0.0,
-40,2,1983,1985,0,0.0,
-40,2,1984,1986,0,0.0,
-40,2,1985,1987,0,0.0,
-40,2,1986,1988,0,0.0,
-40,2,1987,1989,0,0.0,
-40,2,1988,1990,0,0.0,
-40,2,1989,1991,0,0.0,
-40,2,1990,1992,0,0.0,
-40,2,1991,1993,0,0.0,
-40,2,1992,1994,0,0.0,
-40,2,1993,1995,0,0.0,
-40,2,1994,1996,0,0.0,
-40,2,1995,1997,0,0.0,
-40,2,1996,1998,0,0.0,
-40,2,1997,1999,0,0.0,
-40,2,1998,2000,0,0.0,
-40,2,1999,2001,0,0.0,
-40,2,2000,2002,0,0.0,
-40,2,2001,2003,97,19.400000000000002,0.44
-40,2,2002,2004,170,33.73,16.68
-40,2,2003,2005,73,14.48,18.62
-40,2,2004,2006,0,0.0,
-40,2,2005,2007,0,0.0,
-40,2,2006,2008,0,0.0,
-40,2,2007,2009,46,9.13,3.01
-40,2,2008,2010,173,34.260000000000005,22.61
-40,2,2009,2011,127,25.2,21.68
-40,2,2010,2012,0,0.0,
-40,2,2011,2013,0,0.0,
-40,2,2012,2014,0,0.0,
-40,2,2013,2015,0,0.0,
-40,2,2014,2016,0,0.0,
-40,2,2015,2017,0,0.0,
-40,2,2016,2018,0,0.0,
-40,2,2017,2019,0,0.0,
-40,2,2018,2020,0,0.0,
-40,3,1953,1956,0,0.0,
-40,3,1954,1957,0,0.0,
-40,3,1955,1958,0,0.0,
-40,3,1956,1959,0,0.0,
-40,3,1957,1960,0,0.0,
-40,3,1958,1961,0,0.0,
-40,3,1959,1962,0,0.0,
-40,3,1960,1963,0,0.0,
-40,3,1961,1964,0,0.0,
-40,3,1962,1965,0,0.0,
-40,3,1963,1966,0,0.0,
-40,3,1964,1967,0,0.0,
-40,3,1965,1968,0,0.0,
-40,3,1966,1969,0,0.0,
-40,3,1967,1970,0,0.0,
-40,3,1968,1971,0,0.0,
-40,3,1969,1972,0,0.0,
-40,3,1970,1973,0,0.0,
-40,3,1971,1974,0,0.0,
-40,3,1972,1975,71,9.39,0.76
-40,3,1973,1976,85,11.21,16.08
-40,3,1974,1977,85,11.200000000000001,17.14
-40,3,1975,1978,14,1.8499999999999999,10.13
-40,3,1976,1979,0,0.0,
-40,3,1977,1980,0,0.0,
-40,3,1978,1981,0,0.0,
-40,3,1979,1982,0,0.0,
-40,3,1980,1983,0,0.0,
-40,3,1981,1984,0,0.0,
