dip,holding period,start year,end year,buy days,buy days (%),return (%)
-20,1,1928,1929,0,0.0,
-20,1,1929,1930,42,16.869999999999997,15.07
-20,1,1930,1931,240,95.62,-61.199999999999996
-20,1,1931,1932,252,100.0,-99.86
-20,1,1932,1933,250,100.0,0.38
-20,1,1933,1934,242,100.0,21.21
-20,1,1934,1935,249,100.0,-6.69
-20,1,1935,1936,250,100.0,49.88
-20,1,1936,1937,253,100.0,21.65
-20,1,1937,1938,250,100.0,-73.67
-20,1,1938,1939,250,100.0,27.93
-20,1,1939,1940,249,100.0,6.74
-20,1,1940,1941,251,100.0,-7.75
-20,1,1941,1942,250,100.0,-24.89
-20,1,1942,1943,251,100.0,24.11
-20,1,1943,1944,250,100.0,2.71
-20,1,1944,1945,251,100.0,12.76
-20,1,1945,1946,246,100.0,28.689999999999998
-20,1,1946,1947,250,100.0,-21.67
-20,1,1947,1948,250,100.0,1.8499999999999999
-20,1,1948,1949,251,100.0,-4.569999999999999
-20,1,1949,1950,250,100.0,19.78
-20,1,1950,1951,249,100.0,21.38
-20,1,1951,1952,249,100.0,12.76
-20,1,1952,1953,223,89.2,16.11
-20,1,1953,1954,192,76.49000000000001,5.2299999999999995
-20,1,1954,1955,11,4.37,36.79
-20,1,1955,1956,0,0.0,
-20,1,1956,1957,0,0.0,
-20,1,1957,1958,11,4.37,17.01
-20,1,1958,1959,0,0.0,
-20,1,1959,1960,0,0.0,
-20,1,1960,1961,0,0.0,
-20,1,1961,1962,0,0.0,
-20,1,1962,1963,78,30.95,29.99
-20,1,1963,1964,0,0.0,
-20,1,1964,1965,0,0.0,
-20,1,1965,1966,0,0.0,
-20,1,1966,1967,8,3.17,30.490000000000002
-20,1,1967,1968,0,0.0,
-20,1,1968,1969,0,0.0,
-20,1,1969,1970,0,0.0,
-20,1,1970,1971,167,65.75,31.919999999999998
-20,1,1971,1972,0,0.0,
-20,1,1972,1973,0,0.0,
-20,1,1973,1974,17,6.75,70.09
-20,1,1974,1975,223,88.14,-34.410000000000004
-20,1,1975,1976,253,100.0,9.17
-20,1,1976,1977,7,2.77,13.8
