dip,holding period,start year,end year,buy days,buy days (%),return (%)
0,1,1928,1929,250,100.0,40.839999999999996
0,1,1929,1930,249,100.0,-40.94
0,1,1930,1931,251,100.0,-61.92999999999999
0,1,1931,1932,252,100.0,-99.86
0,1,1932,1933,250,100.0,0.38
0,1,1933,1934,242,100.0,21.21
0,1,1934,1935,249,100.0,-6.69
0,1,1935,1936,250,100.0,49.88
0,1,1936,1937,253,100.0,21.65
0,1,1937,1938,250,100.0,-73.67
0,1,1938,1939,250,100.0,27.93
0,1,1939,1940,249,100.0,6.74
0,1,1940,1941,251,100.0,-7.75
0,1,1941,1942,250,100.0,-24.89
0,1,1942,1943,251,100.0,24.11
0,1,1943,1944,250,100.0,2.71
0,1,1944,1945,251,100.0,12.76
0,1,1945,1946,246,100.0,28.689999999999998
0,1,1946,1947,250,100.0,-21.67
0,1,1947,1948,250,100.0,1.8499999999999999
0,1,1948,1949,251,100.0,-4.569999999999999
0,1,1949,1950,250,100.0,19.78
0,1,1950,1951,249,100.0,21.38
0,1,1951,1952,249,100.0,12.76
0,1,1952,1953,250,100.0,16.31
0,1,1953,1954,251,100.0,0.7000000000000001
0,1,1954,1955,252,100.0,38.98
0,1,1955,1956,252,100.0,23.75
0,1,1956,1957,251,100.0,0.13
0,1,1957,1958,252,100.0,-20.919999999999998
0,1,1958,1959,252,100.0,36.28
0,1,1959,1960,253,100.0,8.38
0,1,1960,1961,252,100.0,7.84
0,1,1961,1962,250,100.0,15.61
0,1,1962,1963,252,100.0,2.3800000000000003
0,1,1963,1964,251,100.0,14.42
0,1,1964,1965,253,100.0,8.17
0,1,1965,1966,252,100.0,9.46
0,1,1966,1967,252,100.0,-11.41
0,1,1967,1968,251,100.0,9.69
0,1,1968,1969,226,100.0,12.27
0,1,1969,1970,250,100.0,-11.98
0,1,1970,1971,254,100.0,19.85
0,1,1971,1972,253,100.0,7.42
0,1,1972,1973,251,100.0,15.770000000000001
0,1,1973,1974,252,100.0,-19.02
0,1,1974,1975,253,100.0,-35.77
0,1,1975,1976,253,100.0,9.17
0,1,1976,1977,253,100.0,10.280000000000001
0,1,1977,1978,252,100.0,-6.279999999999999
0,1,1978,1979,252,100.0,-0.01
0,1,1979,1980,253,100.0,9.370000000000001
0,1,1980,1981,253,100.0,27.26
0,1,1981,1982,253,100.0,-8.59
0,1,1982,1983,253,100.0,32.269999999999996
0,1,1983,1984,253,100.0,5.54
0,1,1984,1985,253,100.0,8.21
0,1,1985,1986,252,100.0,24.59
0,1,1986,1987,253,100.0,4.88
0,1,1987,1988,253,100.0,-30.099999999999998
0,1,1988,1989,253,100.0,8.7
0,1,1989,1990,252,100.0,18.34
0,1,1990,1991,253,100.0,-2.6
0,1,1991,1992,253,100.0,20.560000000000002
0,1,1992,1993,254,100.0,9.26
0,1,1993,1994,253,100.0,6.45
0,1,1994,1995,252,100.0,-0.5
0,1,1995,1996,252,100.0,26.279999999999998
0,1,1996,1997,254,100.0,19.919999999999998
0,1,1997,1998,253,100.0,21.51
0,1,1998,1999,252,100.0,24.709999999999997
0,1,1999,2000,252,100.0,20.26
0,1,2000,2001,252,100.0,-15.61
0,1,2001,2002,248,100.0,-7.779999999999999
0,1,2002,2003,252,100.0,-23.39
0,1,2003,2004,252,100.0,28.77
0,1,2004,2005,252,100.0,13.74
0,1,2005,2006,252,100.0,6.69
0,1,2006,2007,251,100.0,15.870000000000001
0,1,2007,2008,251,100.0,-1.21
0,1,2008,2009,253,100.0,-57.74
0,1,2009,2010,252,100.0,33.57
0,1,2010,2011,252,100.0,19.49
0,1,2011,2012,252,100.0,-1.5599999999999998
0,1,2012,2013,250,100.0,6.75
0,1,2013,2014,252,100.0,23.7
0,1,2014,2015,252,100.0,12.879999999999999
0,1,2015,2016,252,100.0,-1.66
0,1,2016,2017,252,100.0,13.450000000000001
0,1,2017,2018,251,100.0,17.73
0,1,2018,2019,251,100.0,-18.52
0,1,2019,2020,252,100.0,20.810000000000002
0,2,1928,1930,499,100.0,-7.84
0,2,1929,1931,500,100.0,-43.04
0,2,1930,1932,503,100.0,-73.2
0,2,1931,1933,502,100.0,-34.64
0,2,1932,1934,492,100.0,24.0
0,2,1933,1935,491,100.0,0.53
0,2,1934,1936,499,100.0,27.16
0,2,1935,1937,503,100.0,29.909999999999997
0,2,1936,1938,503,100.0,-39.77
0,2,1937,1939,500,100.0,-1.9900000000000002
0,2,1938,1940,499,100.0,5.94
0,2,1939,1941,500,100.0,-8.51
0,2,1940,1942,501,100.0,-18.05
0,2,1941,1943,501,100.0,5.34
0,2,1942,1944,501,100.0,15.5
0,2,1943,1945,501,100.0,10.37
0,2,1944,1946,497,100.0,23.95
0,2,1945,1947,496,100.0,-5.47
0,2,1946,1948,500,100.0,-5.12
0,2,1947,1949,501,100.0,-1.02
0,2,1948,1950,501,100.0,8.690000000000001
0,2,1949,1951,499,100.0,20.22
0,2,1950,1952,498,100.0,16.18
0,2,1951,1953,499,100.0,12.879999999999999
0,2,1952,1954,501,100.0,0.8099999999999999
