,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
6747,1955-01-03,36.75,0.77,2.14,36.75,0.0,False,0,0,0.0,0.0,0.0,0.0
6748,1955-01-04,36.42,-0.33,-0.9,36.75,-0.9,False,0,0,0.0,0.0,0.0,0.0
6749,1955-01-05,35.52,-0.9,-2.47,36.75,-3.35,False,0,0,0.0,0.0,0.0,0.0
6750,1955-01-06,35.04,-0.48,-1.35,36.75,-4.65,False,0,0,0.0,0.0,0.0,0.0
6751,1955-01-07,35.33,0.29,0.83,36.75,-3.86,False,0,0,0.0,0.0,0.0,0.0
6752,1955-01-10,35.79,0.46,1.3,36.75,-2.61,False,0,0,0.0,0.0,0.0,0.0
6753,1955-01-11,35.68,-0.11,-0.31,36.75,-2.91,False,0,0,0.0,0.0,0.0,0.0
6754,1955-01-12,35.58,-0.1,-0.28,36.75,-3.18,False,0,0,0.0,0.0,0.0,0.0
6755,1955-01-13,35.43,-0.15,-0.42,36.75,-3.59,False,0,0,0.0,0.0,0.0,0.0
6756,1955-01-14,35.28,-0.15,-0.42,36.75,-4.0,False,0,0,0.0,0.0,0.0,0.0
6757,1955-01-17,34.58,-0.7,-1.98,36.75,-5.9,False,0,0,0.0,0.0,0.0,0.0
6758,1955-01-18,34.8,0.22,0.64,36.75,-5.31,False,0,0,0.0,0.0,0.0,0.0
6759,1955-01-19,34.96,0.16,0.46,36.75,-4.87,False,0,0,0.0,0.0,0.0,0.0
6760,1955-01-20,35.13,0.17,0.49,36.75,-4.41,False,0,0,0.0,0.0,0.0,0.0
6761,1955-01-21,35.44,0.31,0.88,36.75,-3.56,False,0,0,0.0,0.0,0.0,0.0
6762,1955-01-24,35.52,0.08,0.23,36.75,-3.35,False,0,0,0.0,0.0,0.0,0.0
6763,1955-01-25,35.51,-0.01,-0.03,36.75,-3.37,False,0,0,0.0,0.0,0.0,0.0
6764,1955-01-26,35.95,0.44,1.24,36.75,-2.18,False,0,0,0.0,0.0,0.0,0.0
6765,1955-01-27,35.99,0.04,0.11,36.75,-2.07,False,0,0,0.0,0.0,0.0,0.0
6766,1955-01-28,36.19,0.2,0.56,36.75,-1.52,False,0,0,0.0,0.0,0.0,0.0
6767,1955-01-31,36.63,0.44,1.22,36.75,-0.33,False,0,0,0.0,0.0,0.0,0.0
6768,1955-02-01,36.72,0.09,0.25,36.75,-0.08,False,0,0,0.0,0.0,0.0,0.0
6769,1955-02-02,36.61,-0.11,-0.3,36.75,-0.38,False,0,0,0.0,0.0,0.0,0.0
6770,1955-02-03,36.44,-0.17,-0.46,36.75,-0.84,False,0,0,0.0,0.0,0.0,0.0
6771,1955-02-04,36.96,0.52,1.43,36.96,0.0,False,0,0,0.0,0.0,0.0,0.0
6772,1955-02-07,36.96,0.0,0.0,36.96,0.0,False,0,0,0.0,0.0,0.0,0.0
6773,1955-02-08,36.46,-0.5,-1.35,36.96,-1.35,False,0,0,0.0,0.0,0.0,0.0
6774,1955-02-09,36.75,0.29,0.8,36.96,-0.57,False,0,0,0.0,0.0,0.0,0.0
6775,1955-02-10,37.08,0.33,0.9,37.08,0.0,False,0,0,0.0,0.0,0.0,0.0
6776,1955-02-11,37.15,0.07,0.19,37.15,0.0,False,0,0,0.0,0.0,0.0,0.0
6777,1955-02-14,36.89,-0.26,-0.7,37.15,-0.7,False,0,0,0.0,0.0,0.0,0.0
6778,1955-02-15,36.89,0.0,0.0,37.15,-0.7,False,0,0,0.0,0.0,0.0,0.0
6779,1955-02-16,36.77,-0.12,-0.32,37.15,-1.02,False,0,0,0.0,0.0,0.0,0.0
6780,1955-02-17,36.84,0.07,0.19,37.15,-0.83,False,0,0,0.0,0.0,0.0,0.0
6781,1955-02-18,36.89,0.05,0.14,37.15,-0.7,False,0,0,0.0,0.0,0.0,0.0
6782,1955-02-21,36.85,-0.04,-0.11,37.15,-0.81,False,0,0,0.0,0.0,0.0,0.0
6783,1955-02-23,36.82,-0.03,-0.08,37.15,-0.89,False,0,0,0.0,0.0,0.0,0.0
6784,1955-02-24,36.62,-0.2,-0.54,37.15,-1.43,False,0,0,0.0,0.0,0.0,0.0
6785,1955-02-25,36.57,-0.05,-0.14,37.15,-1.56,False,0,0,0.0,0.0,0.0,0.0
6786,1955-02-28,36.76,0.19,0.52,37.15,-1.05,False,0,0,0.0,0.0,0.0,0.0
6787,1955-03-01,36.83,0.07,0.19,37.15,-0.86,False,0,0,0.0,0.0,0.0,0.0
6788,1955-03-02,37.15,0.32,0.87,37.15,0.0,False,0,0,0.0,0.0,0.0,0.0
6789,1955-03-03,37.29,0.14,0.38,37.29,0.0,False,0,0,0.0,0.0,0.0,0.0
6790,1955-03-04,37.52,0.23,0.62,37.52,0.0,False,0,0,0.0,0.0,0.0,0.0
6791,1955-03-07,37.28,-0.24,-0.64,37.52,-0.64,False,0,0,0.0,0.0,0.0,0.0
6792,1955-03-08,36.58,-0.7,-1.88,37.52,-2.5,False,0,0,0.0,0.0,0.0,0.0
6793,1955-03-09,36.22,-0.36,-0.98,37.52,-3.46,False,0,0,0.0,0.0,0.0,0.0
6794,1955-03-10,36.45,0.23,0.64,37.52,-2.85,False,0,0,0.0,0.0,0.0,0.0
6795,1955-03-11,35.82,-0.63,-1.73,37.52,-4.53,False,0,0,0.0,0.0,0.0,0.0
6796,1955-03-14,34.96,-0.86,-2.4,37.52,-6.82,False,0,0,0.0,0.0,0.0,0.0
6797,1955-03-15,35.71,0.75,2.14,37.52,-4.82,False,0,0,0.0,0.0,0.0,0.0
6798,1955-03-16,35.98,0.27,0.76,37.52,-4.1,False,0,0,0.0,0.0,0.0,0.0
6799,1955-03-17,36.12,0.14,0.39,37.52,-3.73,False,0,0,0.0,0.0,0.0,0.0
6800,1955-03-18,36.18,0.06,0.17,37.52,-3.57,False,0,0,0.0,0.0,0.0,0.0
6801,1955-03-21,35.95,-0.23,-0.64,37.52,-4.18,False,0,0,0.0,0.0,0.0,0.0
6802,1955-03-22,36.17,0.22,0.61,37.52,-3.6,False,0,0,0.0,0.0,0.0,0.0
6803,1955-03-23,36.64,0.47,1.3,37.52,-2.35,False,0,0,0.0,0.0,0.0,0.0
6804,1955-03-24,36.93,0.29,0.79,37.52,-1.57,False,0,0,0.0,0.0,0.0,0.0
6805,1955-03-25,36.96,0.03,0.08,37.52,-1.49,False,0,0,0.0,0.0,0.0,0.0
6806,1955-03-28,36.83,-0.13,-0.35,37.52,-1.84,False,0,0,0.0,0.0,0.0,0.0
6807,1955-03-29,36.85,0.02,0.05,37.52,-1.79,False,0,0,0.0,0.0,0.0,0.0
6808,1955-03-30,36.52,-0.33,-0.9,37.52,-2.66,False,0,0,0.0,0.0,0.0,0.0
6809,1955-03-31,36.58,0.06,0.16,37.52,-2.5,False,0,0,0.0,0.0,0.0,0.0
