,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
6747,1955-01-03,36.75,0.77,2.14,36.75,0.0,True,1,1,-36.75,-36.75,36.75,0.0
6748,1955-01-04,36.42,-0.33,-0.9,36.75,-0.9,True,1,2,-36.42,-73.17,72.84,-0.33
6749,1955-01-05,35.52,-0.9,-2.47,36.75,-3.35,True,1,3,-35.52,-108.69,106.56,-2.13
6750,1955-01-06,35.04,-0.48,-1.35,36.75,-4.65,True,1,4,-35.04,-143.73,140.16,-3.57
6751,1955-01-07,35.33,0.29,0.83,36.75,-3.86,True,1,5,-35.33,-179.06,176.65,-2.41
6752,1955-01-10,35.79,0.46,1.3,36.75,-2.61,True,1,6,-35.79,-214.85,214.74,-0.11
6753,1955-01-11,35.68,-0.11,-0.31,36.75,-2.91,True,1,7,-35.68,-250.53,249.76,-0.77
6754,1955-01-12,35.58,-0.1,-0.28,36.75,-3.18,True,1,8,-35.58,-286.11,284.64,-1.47
6755,1955-01-13,35.43,-0.15,-0.42,36.75,-3.59,True,1,9,-35.43,-321.54,318.87,-2.67
6756,1955-01-14,35.28,-0.15,-0.42,36.75,-4.0,True,1,10,-35.28,-356.82,352.8,-4.02
6757,1955-01-17,34.58,-0.7,-1.98,36.75,-5.9,True,1,11,-34.58,-391.4,380.38,-11.02
6758,1955-01-18,34.8,0.22,0.64,36.75,-5.31,True,1,12,-34.8,-426.2,417.6,-8.6
6759,1955-01-19,34.96,0.16,0.46,36.75,-4.87,True,1,13,-34.96,-461.16,454.48,-6.68
6760,1955-01-20,35.13,0.17,0.49,36.75,-4.41,True,1,14,-35.13,-496.29,491.82,-4.47
6761,1955-01-21,35.44,0.31,0.88,36.75,-3.56,True,1,15,-35.44,-531.73,531.6,-0.13
6762,1955-01-24,35.52,0.08,0.23,36.75,-3.35,True,1,16,-35.52,-567.25,568.32,1.07
6763,1955-01-25,35.51,-0.01,-0.03,36.75,-3.37,True,1,17,-35.51,-602.76,603.67,0.91
6764,1955-01-26,35.95,0.44,1.24,36.75,-2.18,True,1,18,-35.95,-638.71,647.1,8.39
6765,1955-01-27,35.99,0.04,0.11,36.75,-2.07,True,1,19,-35.99,-674.7,683.81,9.11
6766,1955-01-28,36.19,0.2,0.56,36.75,-1.52,True,1,20,-36.19,-710.89,723.8,12.91
6767,1955-01-31,36.63,0.44,1.22,36.75,-0.33,True,1,21,-36.63,-747.52,769.23,21.71
6768,1955-02-01,36.72,0.09,0.25,36.75,-0.08,True,1,22,-36.72,-784.24,807.84,23.6
6769,1955-02-02,36.61,-0.11,-0.3,36.75,-0.38,True,1,23,-36.61,-820.85,842.03,21.18
6770,1955-02-03,36.44,-0.17,-0.46,36.75,-0.84,True,1,24,-36.44,-857.29,874.56,17.27
6771,1955-02-04,36.96,0.52,1.43,36.96,0.0,True,1,25,-36.96,-894.25,924.0,29.75
6772,1955-02-07,36.96,0.0,0.0,36.96,0.0,True,1,26,-36.96,-931.21,960.96,29.75
6773,1955-02-08,36.46,-0.5,-1.35,36.96,-1.35,True,1,27,-36.46,-967.67,984.42,16.75
6774,1955-02-09,36.75,0.29,0.8,36.96,-0.57,True,1,28,-36.75,-1004.42,1029.0,24.58
6775,1955-02-10,37.08,0.33,0.9,37.08,0.0,True,1,29,-37.08,-1041.5,1075.32,33.82
6776,1955-02-11,37.15,0.07,0.19,37.15,0.0,True,1,30,-37.15,-1078.65,1114.5,35.85
6777,1955-02-14,36.89,-0.26,-0.7,37.15,-0.7,True,1,31,-36.89,-1115.54,1143.59,28.05
6778,1955-02-15,36.89,0.0,0.0,37.15,-0.7,True,1,32,-36.89,-1152.43,1180.48,28.05
