percent off,fraction of days
57.9,0.0
57.8,0.0
57.7,0.0
57.6,0.0
57.5,0.0
57.4,0.0
57.3,0.0
57.2,0.0
57.1,0.0
57.0,0.0
56.9,0.0
56.8,0.0
56.7,0.012
56.6,0.012
56.5,0.012
56.4,0.012
56.3,0.035
56.2,0.035
56.1,0.035
56.0,0.035
55.9,0.035
55.8,0.035
55.7,0.035
55.6,0.035
55.5,0.046
55.4,0.046
55.3,0.046
55.2,0.058
55.1,0.058
55.0,0.058
54.9,0.058
54.8,0.058
54.7,0.058
54.6,0.058
54.5,0.058
54.4,0.069
54.3,0.069
54.2,0.069
54.1,0.069
54.0,0.081
53.9,0.093
53.8,0.093
53.7,0.093
53.6,0.093
53.5,0.093
53.4,0.093
53.3,0.093
53.2,0.093
53.1,0.093
53.0,0.104
52.9,0.104
52.8,0.104
52.7,0.104
52.6,0.104
52.5,0.116
52.4,0.116
52.3,0.116
52.2,0.116
52.1,0.116
52.0,0.127
51.9,0.15
51.8,0.162
51.7,0.162
51.6,0.174
51.5,0.174
51.4,0.174
51.3,0.174
51.2,0.174
51.1,0.185
51.0,0.185
50.9,0.185
50.8,0.208
50.7,0.208
50.6,0.22
50.5,0.22
50.4,0.22
50.3,0.22
50.2,0.243
50.1,0.243
50.0,0.243
49.9,0.255
49.8,0.255
49.7,0.255
49.6,0.278
49.5,0.289
49.4,0.289
49.3,0.289
49.2,0.301
49.1,0.313
49.0,0.324
48.9,0.324
48.8,0.336
48.7,0.336
48.6,0.336
48.5,0.359
48.4,0.382
48.3,0.382
48.2,0.382
48.1,0.394
48.0,0.405
47.9,0.405
47.8,0.44
47.7,0.463
47.6,0.463
47.5,0.486
47.4,0.498
47.3,0.521
47.2,0.556
47.1,0.602
47.0,0.602
46.9,0.602
46.8,0.637
46.7,0.66
46.6,0.706
46.5,0.718
46.4,0.752
46.3,0.799
46.2,0.81
46.1,0.868
46.0,0.891
45.9,0.926
45.8,0.949
45.7,1.007
45.6,1.065
45.5,1.123
45.4,1.158
45.3,1.215
45.2,1.262
45.1,1.331
45.0,1.354
44.9,1.377
44.8,1.389
44.7,1.447
44.6,1.482
44.5,1.528
44.4,1.621
44.3,1.667
44.2,1.713
44.1,1.759
44.0,1.783
43.9,1.817
