percent off,fraction of days
57.9,0.0
57.8,0.0
57.7,0.0
57.6,0.0
57.5,0.0
57.4,0.0
57.3,0.0
57.2,0.0
57.1,0.0
57.0,0.0
56.9,0.0
56.8,0.0
56.7,0.006
56.6,0.006
56.5,0.006
56.4,0.006
56.3,0.018
56.2,0.018
56.1,0.018
56.0,0.018
55.9,0.018
55.8,0.018
55.7,0.018
55.6,0.018
55.5,0.024
55.4,0.024
55.3,0.024
55.2,0.03
55.1,0.03
55.0,0.03
54.9,0.03
54.8,0.03
54.7,0.03
54.6,0.03
54.5,0.03
54.4,0.037
54.3,0.037
54.2,0.037
54.1,0.037
54.0,0.043
53.9,0.049
53.8,0.049
53.7,0.049
53.6,0.049
53.5,0.049
53.4,0.049
53.3,0.049
53.2,0.049
53.1,0.049
53.0,0.055
52.9,0.055
52.8,0.055
52.7,0.055
52.6,0.055
52.5,0.061
52.4,0.061
52.3,0.061
52.2,0.061
52.1,0.061
52.0,0.067
51.9,0.079
51.8,0.085
51.7,0.085
51.6,0.091
51.5,0.091
51.4,0.091
51.3,0.091
51.2,0.091
51.1,0.097
51.0,0.097
50.9,0.097
50.8,0.11
50.7,0.11
50.6,0.116
50.5,0.116
50.4,0.116
50.3,0.116
50.2,0.128
50.1,0.128
50.0,0.128
49.9,0.134
49.8,0.134
49.7,0.134
49.6,0.146
49.5,0.152
49.4,0.152
49.3,0.152
49.2,0.158
49.1,0.164
49.0,0.17
48.9,0.17
48.8,0.176
48.7,0.176
48.6,0.176
48.5,0.189
48.4,0.201
48.3,0.201
48.2,0.207
48.1,0.219
48.0,0.225
47.9,0.225
47.8,0.243
47.7,0.256
47.6,0.256
47.5,0.268
47.4,0.274
47.3,0.286
47.2,0.316
47.1,0.347
47.0,0.347
46.9,0.347
46.8,0.365
46.7,0.377
46.6,0.402
46.5,0.408
46.4,0.426
46.3,0.45
46.2,0.456
46.1,0.487
46.0,0.505
45.9,0.542
45.8,0.554
45.7,0.59
45.6,0.621
45.5,0.651
45.4,0.676
45.3,0.706
45.2,0.73
45.1,0.773
45.0,0.791
44.9,0.803
44.8,0.816
44.7,0.858
44.6,0.876
44.5,0.907
44.4,0.956
44.3,0.992
44.2,1.022
44.1,1.065
44.0,1.083
43.9,1.126
