dip,paid,shares,buy day fraction,avg share price,current price,ROI,ROI/y
0.0,10892251,23178,100.0,469.94,2789.820068,493.7,5.31
0.1,9753029,21678,93.52834584519803,449.9,2789.820068,520.1,5.59
0.2,9532157,21425,92.4367935110881,444.91,2789.820068,527.1,5.67
0.3,9329430,21206,91.49193200448701,439.94,2789.820068,534.1,5.74
0.4,9108435,20971,90.4780395202347,434.33,2789.820068,542.3,5.83
0.5,8957003,20772,89.61946673569764,431.21,2789.820068,547.0,5.88
0.6,8766353,20547,88.64871861247735,426.65,2789.820068,553.9,5.96
0.7,8609267,20357,87.8289757528691,422.91,2789.820068,559.7,6.02
0.8,8498209,20190,87.10846492363449,420.91,2789.820068,562.8,6.05
0.9,8363701,20015,86.35343860557425,417.87,2789.820068,567.6,6.1
1.0,8213815,19820,85.51212356545,414.42,2789.820068,573.2,6.16
1.1,8103594,19649,84.77435499180257,412.42,2789.820068,576.5,6.2
1.2,7985966,19487,84.07541634308396,409.81,2789.820068,580.8,6.25
1.3,7870934,19317,83.34196220553973,407.46,2789.820068,584.7,6.29
1.4,7736693,19142,82.58693588747951,404.17,2789.820068,590.3,6.35
1.5,7629730,18995,81.95271378030891,401.67,2789.820068,594.6,6.39
1.6,7518932,18848,81.31849167313833,398.92,2789.820068,599.3,6.44
1.7,7412775,18686,80.6195530244197,396.7,2789.820068,603.3,6.49
1.8,7307207,18552,80.04141858659074,393.88,2789.820068,608.3,6.54
1.9,7221923,18415,79.45034084045216,392.18,2789.820068,611.4,6.57
2.0,7121637,18278,78.85926309431358,389.63,2789.820068,616.0,6.62
2.1,7045958,18159,78.34584519803262,388.01,2789.820068,619.0,6.66
2.2,6956880,18021,77.75045301579084,386.04,2789.820068,622.7,6.7
2.3,6879159,17898,77.21977737509708,384.35,2789.820068,625.9,6.73
2.4,6793892,17772,76.6761584260937,382.28,2789.820068,629.8,6.77
2.5,6708708,17655,76.17136940201915,379.99,2789.820068,634.2,6.82
2.6,6635941,17542,75.68383812235741,378.29,2789.820068,637.5,6.85
2.7,6580597,17431,75.20493571490206,377.52,2789.820068,639.0,6.87
2.8,6516690,17322,74.73466217965311,376.21,2789.820068,641.6,6.9
2.9,6460135,17208,74.24281646388818,375.41,2789.820068,643.1,6.92
3.0,6396107,17098,73.76822849253602,374.09,2789.820068,645.8,6.94
3.1,6322527,16977,73.24618172404867,372.42,2789.820068,649.1,6.98
3.2,6234375,16851,72.70256277504531,369.97,2789.820068,654.1,7.03
3.3,6166477,16745,72.24523254810596,368.26,2789.820068,657.6,7.07
3.4,6099779,16634,71.76633014065062,366.71,2789.820068,660.8,7.11
3.5,6050856,16535,71.3392009664337,365.94,2789.820068,662.4,7.12
3.6,5998870,16416,70.82578307015272,365.43,2789.820068,663.4,7.13
3.7,5948651,16320,70.41159720424541,364.5,2789.820068,665.4,7.15
3.8,5896924,16234,70.04055569937009,363.25,2789.820068,668.0,7.18
3.9,5852292,16152,69.68677193890758,362.33,2789.820068,670.0,7.2
4.0,5791528,16059,69.28552938130986,360.64,2789.820068,673.6,7.24
4.1,5735946,15967,68.88860125981535,359.24,2789.820068,676.6,7.28
4.2,5678607,15873,68.48304426611442,357.75,2789.820068,679.8,7.31
4.3,5631139,15788,68.11631719734231,356.67,2789.820068,682.2,7.34
4.4,5580905,15692,67.70213133143498,355.65,2789.820068,684.4,7.36
4.5,5534707,15611,67.35266200707568,354.54,2789.820068,686.9,7.39
4.6,5483243,15537,67.03339373543878,352.92,2789.820068,690.5,7.42
4.7,5450078,15468,66.73569764431788,352.35,2789.820068,691.8,7.44
4.8,5394077,15395,66.4207438087842,350.38,2789.820068,696.2,7.49
4.9,5346867,15310,66.05401674001207,349.24,2789.820068,698.8,7.51
5.0,5293721,15217,65.65277418241436,347.88,2789.820068,701.9,7.55
5.1,5241199,15133,65.29036154974546,346.34,2789.820068,705.5,7.59
5.2,5197057,15055,64.95383553369575,345.2,2789.820068,708.2,7.62
5.3,5146598,14975,64.60868064543965,343.68,2789.820068,711.7,7.65
5.4,5102242,14908,64.31961342652515,342.25,2789.820068,715.1,7.69
5.5,5071080,14848,64.06074726033307,341.53,2789.820068,716.9,7.71
5.6,5020468,14773,63.73716455259298,339.84,2789.820068,720.9,7.75
5.7,4998935,14715,63.4869272586073,339.72,2789.820068,721.2,7.75
5.8,4967029,14642,63.1719734230736,339.23,2789.820068,722.4,7.77
5.9,4927393,14577,62.89153507636552,338.03,2789.820068,725.3,7.8
6.0,4886374,14505,62.58089567693502,336.88,2789.820068,728.1,7.83
6.1,4851739,14449,62.33928725515575,335.78,2789.820068,730.8,7.86
6.2,4820432,14391,62.089049961170076,334.96,2789.820068,732.9,7.88
6.3,4793683,14325,61.80429717835879,334.64,2789.820068,733.7,7.89
6.4,4751723,14257,61.5109155233411,333.29,2789.820068,737.1,7.93
6.5,4722506,14215,61.329709207006644,332.22,2789.820068,739.8,7.95
6.6,4683797,14141,61.01044093536975,331.22,2789.820068,742.3,7.98
6.7,4645424,14073,60.71705928035206,330.09,2789.820068,745.2,8.01
6.8,4602924,14008,60.43662093364397,328.59,2789.820068,749.0,8.05
6.9,4576855,13956,60.212270256277506,327.95,2789.820068,750.7,8.07
7.0,4541469,13905,59.99223401501424,326.61,2789.820068,754.2,8.11
7.1,4510507,13847,59.74199672102856,325.74,2789.820068,756.5,8.13
7.2,4483215,13798,59.5305893519717,324.92,2789.820068,758.6,8.16
7.3,4463442,13751,59.327810855121236,324.59,2789.820068,759.5,8.17
7.4,4445510,13708,59.14229010268358,324.3,2789.820068,760.3,8.18
