,dip,buy days,buy days (%),return (%)
0,-60.0,0,0.0,
1,-59.9,0,0.0,
2,-59.8,0,0.0,
3,-59.7,0,0.0,
4,-59.6,0,0.0,
5,-59.5,0,0.0,
6,-59.4,0,0.0,
7,-59.3,0,0.0,
8,-59.2,0,0.0,
9,-59.1,0,0.0,
10,-59.0,0,0.0,
11,-58.9,0,0.0,
12,-58.8,0,0.0,
13,-58.7,0,0.0,
14,-58.6,0,0.0,
15,-58.5,0,0.0,
16,-58.4,0,0.0,
17,-58.3,0,0.0,
18,-58.2,0,0.0,
19,-58.1,0,0.0,
20,-58.0,0,0.0,
21,-57.9,0,0.0,
22,-57.8,0,0.0,
23,-57.7,0,0.0,
24,-57.6,0,0.0,
25,-57.5,0,0.0,
26,-57.4,0,0.0,
27,-57.3,0,0.0,
28,-57.2,0,0.0,
29,-57.1,0,0.0,
30,-57.0,0,0.0,
31,-56.9,0,0.0,
32,-56.8,0,0.0,
33,-56.7,1,0.01,13.750000000000002
34,-56.6,1,0.01,13.750000000000002
35,-56.5,1,0.01,13.750000000000002
36,-56.4,1,0.01,13.750000000000002
37,-56.3,3,0.02,13.68
38,-56.2,3,0.02,13.68
39,-56.1,3,0.02,13.68
40,-56.0,3,0.02,13.68
41,-55.9,3,0.02,13.68
42,-55.8,3,0.02,13.68
43,-55.7,3,0.02,13.68
44,-55.6,3,0.02,13.68
45,-55.5,4,0.02,13.62
46,-55.4,4,0.02,13.62
47,-55.3,4,0.02,13.62
48,-55.2,5,0.03,13.569999999999999
49,-55.1,5,0.03,13.569999999999999
50,-55.0,5,0.03,13.569999999999999
51,-54.9,5,0.03,13.569999999999999
52,-54.8,5,0.03,13.569999999999999
53,-54.7,5,0.03,13.569999999999999
54,-54.6,5,0.03,13.569999999999999
55,-54.5,5,0.03,13.569999999999999
56,-54.4,6,0.04,13.51
57,-54.3,6,0.04,13.51
58,-54.2,6,0.04,13.51
59,-54.1,6,0.04,13.51
60,-54.0,7,0.04,13.450000000000001
61,-53.9,8,0.05,13.41
62,-53.8,8,0.05,13.41
63,-53.7,8,0.05,13.41
64,-53.6,8,0.05,13.41
65,-53.5,8,0.05,13.41
66,-53.4,8,0.05,13.41
67,-53.3,8,0.05,13.41
68,-53.2,8,0.05,13.41
69,-53.1,8,0.05,13.41
70,-53.0,9,0.05,13.350000000000001
71,-52.9,9,0.05,13.350000000000001
72,-52.8,9,0.05,13.350000000000001
73,-52.7,9,0.05,13.350000000000001
74,-52.6,9,0.05,13.350000000000001
75,-52.5,10,0.06,13.29
76,-52.4,10,0.06,13.29
77,-52.3,10,0.06,13.29
78,-52.2,10,0.06,13.29
79,-52.1,10,0.06,13.29
80,-52.0,11,0.06999999999999999,13.23
81,-51.9,13,0.08,13.03
82,-51.8,14,0.09,13.0
83,-51.7,14,0.09,13.0
84,-51.6,15,0.09,12.98
85,-51.5,15,0.09,12.98
86,-51.4,15,0.09,12.98
87,-51.3,15,0.09,12.98
88,-51.2,15,0.09,12.98
89,-51.1,16,0.1,12.94
90,-51.0,16,0.1,12.94
91,-50.9,17,0.1,12.91
92,-50.8,18,0.11,12.889999999999999
