time interval,avg return (%),avg annual return (%),annual return stdev (%)
1,7.681,7.681,18.973
2,11.421,7.088,16.462
3,15.322,6.789,14.825
4,19.535,6.622,13.689
5,24.021,6.541,12.774
6,28.703,6.506,12.003
7,33.625,6.486,11.37
8,38.813,6.474,10.842
9,44.222,6.463,10.397
10,49.933,6.452,10.021
11,56.039,6.445,9.695
12,62.425,6.439,9.408
13,69.225,6.438,9.151
14,76.455,6.442,8.918
15,84.103,6.45,8.701
16,92.121,6.461,8.5
17,100.587,6.473,8.315
18,109.443,6.486,8.143
19,118.746,6.499,7.984
20,128.502,6.514,7.834
21,138.766,6.53,7.694
22,149.556,6.548,7.561
23,160.826,6.566,7.435
24,172.472,6.583,7.316
25,184.4,6.599,7.203
26,196.544,6.614,7.095
27,208.979,6.628,6.993
28,221.696,6.641,6.895
29,234.842,6.653,6.803
30,248.297,6.663,6.715
31,262.179,6.672,6.632
32,276.49,6.68,6.552
33,291.215,6.687,6.476
34,306.379,6.693,6.404
35,322.141,6.699,6.336
36,338.463,6.703,6.271
37,355.319,6.706,6.209
38,372.772,6.709,6.15
39,390.778,6.711,6.093
40,409.535,6.712,6.04
41,428.84,6.713,5.989
42,448.706,6.713,5.94
43,469.324,6.712,5.893
44,490.974,6.712,5.849
45,513.684,6.711,5.807
46,537.169,6.709,5.766
47,561.971,6.708,5.728
48,588.496,6.708,5.691
49,616.645,6.707,5.655
50,646.393,6.707,5.621
51,677.751,6.707,5.589
52,710.855,6.707,5.557
53,745.738,6.708,5.527
54,782.494,6.709,5.498
55,821.456,6.711,5.471
56,862.733,6.712,5.444
57,906.333,6.714,5.419
58,951.475,6.716,5.394
59,997.943,6.718,5.37
60,1045.56,6.721,5.348
61,1094.608,6.723,5.326
62,1145.524,6.725,5.305
63,1198.15,6.728,5.285
64,1253.274,6.73,5.265
65,1310.792,6.732,5.247
66,1370.497,6.734,5.23
67,1430.58,6.736,5.213
68,1490.915,6.738,5.197
69,1551.067,6.74,5.181
70,1610.73,6.742,5.167
71,1669.419,6.743,5.153
72,1727.654,6.743,5.14
73,1784.868,6.743,5.128
74,1840.498,6.743,5.116
75,1895.863,6.743,5.105
76,1949.415,6.743,5.095
77,2000.208,6.742,5.085
78,2048.098,6.741,5.076
79,2092.238,6.74,5.068
80,2133.621,6.739,5.06
81,2173.104,6.737,5.053
82,2212.338,6.736,5.047
83,2248.482,6.735,5.041
84,2283.992,6.734,5.036
85,2318.67,6.733,5.032
86,2349.222,6.732,5.028
87,2375.864,6.731,5.024
88,2394.541,6.73,5.021
89,2405.31,6.729,5.019
