,date,close,daily change,daily change pct,high to date,off from high
0,1927-12-30,17.66,,,17.66,0.0
1,1928-01-03,17.76,0.1,0.566,17.76,0.0
2,1928-01-04,17.719998999999994,-0.04,-0.225,17.76,-0.225
3,1928-01-05,17.549999,-0.17,-0.959,17.76,-1.182
4,1928-01-06,17.66,0.11,0.627,17.76,-0.563
5,1928-01-09,17.5,-0.16,-0.906,17.76,-1.464
6,1928-01-10,17.370001000000002,-0.13,-0.743,17.76,-2.196
7,1928-01-11,17.35,-0.02,-0.115,17.76,-2.309
8,1928-01-12,17.469998999999998,0.12,0.692,17.76,-1.633
9,1928-01-13,17.58,0.11,0.63,17.76,-1.014
10,1928-01-16,17.290001,-0.29,-1.65,17.76,-2.646
11,1928-01-17,17.299999,0.01,0.058,17.76,-2.59
12,1928-01-18,17.26,-0.04,-0.231,17.76,-2.815
13,1928-01-19,17.379998999999998,0.12,0.695,17.76,-2.14
14,1928-01-20,17.48,0.1,0.575,17.76,-1.577
15,1928-01-23,17.639999,0.16,0.915,17.76,-0.676
16,1928-01-24,17.709999,0.07,0.397,17.76,-0.282
17,1928-01-25,17.52,-0.19,-1.073,17.76,-1.351
18,1928-01-26,17.629998999999994,0.11,0.628,17.76,-0.732
19,1928-01-27,17.690001000000006,0.06,0.34,17.76,-0.394
20,1928-01-30,17.49,-0.2,-1.131,17.76,-1.52
21,1928-01-31,17.57,0.08,0.457,17.76,-1.07
22,1928-02-01,17.530001000000002,-0.04,-0.228,17.76,-1.295
23,1928-02-02,17.629998999999994,0.1,0.57,17.76,-0.732
24,1928-02-03,17.4,-0.23,-1.305,17.76,-2.027
25,1928-02-06,17.450001,0.05,0.287,17.76,-1.745
26,1928-02-07,17.440001000000002,-0.01,-0.057,17.76,-1.802
27,1928-02-08,17.49,0.05,0.287,17.76,-1.52
28,1928-02-09,17.549999,0.06,0.343,17.76,-1.182
29,1928-02-10,17.540001,-0.01,-0.057,17.76,-1.239
30,1928-02-14,17.440001000000002,-0.1,-0.57,17.76,-1.802
31,1928-02-15,17.4,-0.04,-0.229,17.76,-2.027
32,1928-02-16,17.35,-0.05,-0.287,17.76,-2.309
33,1928-02-17,17.040001,-0.31,-1.787,17.76,-4.054
34,1928-02-20,16.950001,-0.09,-0.528,17.76,-4.561
35,1928-02-21,17.110001,0.16,0.944,17.76,-3.66
36,1928-02-23,17.129998999999998,0.02,0.117,17.76,-3.547
37,1928-02-24,17.18,0.05,0.292,17.76,-3.266
38,1928-02-27,17.110001,-0.07,-0.407,17.76,-3.66
39,1928-02-28,17.16,0.05,0.292,17.76,-3.378
40,1928-02-29,17.26,0.1,0.583,17.76,-2.815
41,1928-03-01,17.299999,0.04,0.232,17.76,-2.59
42,1928-03-02,17.299999,0.0,0.0,17.76,-2.59
43,1928-03-05,17.57,0.27,1.561,17.76,-1.07
44,1928-03-06,17.67,0.1,0.569,17.76,-0.507
45,1928-03-07,17.58,-0.09,-0.509,17.76,-1.014
46,1928-03-08,17.639999,0.06,0.341,17.76,-0.676
47,1928-03-09,17.93,0.29,1.644,17.93,0.0
48,1928-03-12,18.0,0.07,0.39,18.0,0.0
49,1928-03-13,17.92,-0.08,-0.444,18.0,-0.444
50,1928-03-14,17.93,0.01,0.056,18.0,-0.389
51,1928-03-15,18.07,0.14,0.781,18.07,0.0
52,1928-03-16,18.26,0.19,1.051,18.26,0.0
53,1928-03-19,18.360001,0.1,0.548,18.360001,0.0
54,1928-03-20,18.459999,0.1,0.545,18.459999,0.0
55,1928-03-21,18.65,0.19,1.029,18.65,0.0
56,1928-03-22,18.6,-0.05,-0.268,18.65,-0.268
57,1928-03-23,18.780001,0.18,0.968,18.780001,0.0
58,1928-03-26,19.049999,0.27,1.438,19.049999,0.0
59,1928-03-27,18.940001,-0.11,-0.577,19.049999,-0.577
60,1928-03-28,18.889999,-0.05,-0.264,19.049999,-0.84
61,1928-03-29,18.950001,0.06,0.318,19.049999,-0.525
62,1928-03-30,19.280001,0.33,1.741,19.280001,0.0
63,1928-04-02,18.91,-0.37,-1.919,19.280001,-1.919
64,1928-04-03,19.02,0.11,0.582,19.280001,-1.349
65,1928-04-04,18.99,-0.03,-0.158,19.280001,-1.504
66,1928-04-05,19.23,0.24,1.264,19.280001,-0.259
67,1928-04-09,19.27,0.04,0.208,19.280001,-0.052
68,1928-04-10,19.1,-0.17,-0.882,19.280001,-0.934
69,1928-04-11,19.440001,0.34,1.78,19.440001,0.0
70,1928-04-12,19.41,-0.03,-0.154,19.440001,-0.154
71,1928-04-13,19.73,0.32,1.649,19.73,0.0
72,1928-04-16,19.68,-0.05,-0.253,19.73,-0.253
73,1928-04-17,19.52,-0.16,-0.813,19.73,-1.064
74,1928-04-18,19.52,0.0,0.0,19.73,-1.064
75,1928-04-19,19.629999,0.11,0.564,19.73,-0.507
